Step,Time step,Time
573,0.0237664,15.9279
574,0.0237664,15.9516
575,0.0237664,15.9754
576,0.0237664,15.9992
577,0.0237664,16.0229
578,0.0237664,16.0467
579,0.0237664,16.0705
580,0.0237664,16.0942
581,0.0237664,16.118
582,0.0237664,16.1418
583,0.0237664,16.1655
584,0.0237664,16.1893
585,0.0237664,16.2131
586,0.0237664,16.2368
587,0.0237664,16.2606
588,0.0237664,16.2844
589,0.0237664,16.3081
590,0.0237664,16.3319
591,0.0237664,16.3557
592,0.0237664,16.3794
593,0.0237664,16.4032
594,0.0237664,16.427
595,0.0237664,16.4507
596,0.0237664,16.4745
597,0.0237664,16.4983
598,0.0237664,16.522
599,0.0237664,16.5458
600,0.0237664,16.5696
601,0.0237664,16.5933
602,0.0237664,16.6171
603,0.0237664,16.6409
604,0.0237664,16.6646
605,0.0237664,16.6884
606,0.0237664,16.7122
607,0.0237664,16.7359
608,0.0237664,16.7597
609,0.0237664,16.7835
610,0.0237664,16.8072
611,0.0237664,16.831
612,0.0237664,16.8548
613,0.0237664,16.8785
614,0.0237664,16.9023
615,0.0237664,16.9261
616,0.0237664,16.9498
617,0.0237664,16.9736
618,0.0237664,16.9974
619,0.0237664,17.0211
620,0.0237664,17.0449
621,0.0237664,17.0687
622,0.0237664,17.0924
623,0.0237664,17.1162
624,0.0237664,17.14
625,0.0237664,17.1637
626,0.0237664,17.1875
627,0.0237664,17.2113
628,0.0237664,17.235
629,0.0237664,17.2588
630,0.0237664,17.2826
631,0.0237664,17.3063
632,0.0237664,17.3301
633,0.0237664,17.3538
634,0.0237664,17.3776
635,0.0237664,17.4014
636,0.0237664,17.4251
637,0.0237664,17.4489
638,0.0237664,17.4727
639,0.0237664,17.4964
640,0.0237664,17.5202
641,0.0237664,17.544
642,0.0237664,17.5677
643,0.0237664,17.5915
644,0.0237664,17.6153
645,0.0237664,17.639
646,0.0237664,17.6628
647,0.0237664,17.6866
648,0.0237664,17.7103
649,0.0237664,17.7341
650,0.0237664,17.7579
651,0.0237664,17.7816
652,0.0237664,17.8054
653,0.0237664,17.8292
654,0.0237664,17.8529
655,0.0237664,17.8767
656,0.0237664,17.9005
657,0.0237664,17.9242
658,0.0237664,17.948
659,0.0237664,17.9718
660,0.0237664,17.9955
661,0.0237664,18.0193
662,0.0237664,18.0431
663,0.0237664,18.0668
664,0.0237664,18.0906
665,0.0237664,18.1144
666,0.0237664,18.1381
667,0.0237664,18.1619
668,0.0237664,18.1857
669,0.0237664,18.2094
670,0.0237664,18.2332
671,0.0237664,18.257
672,0.0237664,18.2807
673,0.0237664,18.3045
674,0.0237664,18.3283
675,0.0237664,18.352
676,0.0237664,18.3758
677,0.0237664,18.3996
678,0.0237664,18.4233
679,0.0237664,18.4471
680,0.0237664,18.4709
681,0.0237664,18.4946
682,0.0237664,18.5184
683,0.0237664,18.5422
684,0.0237664,18.5659
685,0.0237664,18.5897
686,0.0237664,18.6135
687,0.0237664,18.6372
688,0.0237664,18.661
689,0.0237664,18.6848
690,0.0237664,18.7085
691,0.0237664,18.7323
692,0.0237664,18.7561
693,0.0237664,18.7798
694,0.0237664,18.8036
695,0.0237664,18.8274
696,0.0237664,18.8511
697,0.0237664,18.8749
698,0.0237664,18.8987
699,0.0237664,18.9224
700,0.0237664,18.9462
701,0.0237664,18.97
702,0.0237664,18.9937
703,0.0237664,19.0175
704,0.0237664,19.0413
705,0.0237664,19.065
706,0.0237664,19.0888
707,0.0237664,19.1126
708,0.0237664,19.1363
709,0.0237664,19.1601
710,0.0237664,19.1839
711,0.0237664,19.2076
712,0.0237664,19.2314
713,0.0237664,19.2552
714,0.0237664,19.2789
715,0.0237664,19.3027
716,0.0237664,19.3265
717,0.0237664,19.3502
718,0.0237664,19.374
719,0.0237664,19.3978
720,0.0237664,19.4215
721,0.0237664,19.4453
722,0.0237664,19.4691
723,0.0237664,19.4928
724,0.0237664,19.5166
725,0.0237664,19.5404
726,0.0237664,19.5641
727,0.0237664,19.5879
728,0.0237664,19.6117
729,0.0237664,19.6354
730,0.0237664,19.6592
731,0.0237664,19.683
732,0.0237664,19.7067
733,0.0237664,19.7305
734,0.0237664,19.7543
735,0.0237664,19.778
736,0.0237664,19.8018
737,0.0237664,19.8256
738,0.0237664,19.8493
739,0.0237664,19.8731
740,0.0237664,19.8968
741,0.0237664,19.9206
742,0.0237664,19.9444
743,0.0237664,19.9681
744,0.0237664,19.9919
745,0.0237664,20.0157
746,0.0237664,20.0394
747,0.0237664,20.0632
748,0.0237664,20.087
749,0.0237664,20.1107
750,0.0237664,20.1345
751,0.0237664,20.1583
752,0.0237664,20.182
753,0.0237664,20.2058
754,0.0237664,20.2296
755,0.0237664,20.2533
756,0.0237664,20.2771
757,0.0237664,20.3009
758,0.0237664,20.3246
759,0.0237664,20.3484
760,0.0237664,20.3722
761,0.0237664,20.3959
762,0.0237664,20.4197
763,0.0237664,20.4435
764,0.0237664,20.4672
765,0.0237664,20.491
766,0.0237664,20.5148
767,0.0237664,20.5385
768,0.0237664,20.5623
769,0.0237664,20.5861
770,0.0237664,20.6098
771,0.0237664,20.6336
772,0.0237664,20.6574
773,0.0237664,20.6811
774,0.0237664,20.7049
775,0.0237664,20.7287
776,0.0237664,20.7524
777,0.0237664,20.7762
778,0.0237664,20.8
779,0.0237664,20.8237
780,0.0237664,20.8475
781,0.0237664,20.8713
782,0.0237664,20.895
783,0.0237664,20.9188
784,0.0237664,20.9426
785,0.0237664,20.9663
786,0.0237664,20.9901
787,0.0237664,21.0139
788,0.0237664,21.0376
789,0.0237664,21.0614
790,0.0237664,21.0852
791,0.0237664,21.1089
792,0.0237664,21.1327
793,0.0237664,21.1565
794,0.0237664,21.1802
795,0.0237664,21.204
796,0.0237664,21.2278
797,0.0237664,21.2515
798,0.0237664,21.2753
799,0.0237664,21.2991
800,0.0237664,21.3228
801,0.0237664,21.3466
802,0.0237664,21.3704
803,0.0237664,21.3941
804,0.0237664,21.4179
805,0.0237664,21.4417
806,0.0237664,21.4654
807,0.0237664,21.4892
808,0.0237664,21.513
809,0.0237664,21.5367
810,0.0237664,21.5605
811,0.0237664,21.5843
812,0.0237664,21.608
813,0.0237664,21.6318
814,0.0237664,21.6556
815,0.0237664,21.6793
816,0.0237664,21.7031
817,0.0237664,21.7269
818,0.0237664,21.7506
819,0.0237664,21.7744
820,0.0237664,21.7982
821,0.0237664,21.8219
822,0.0237664,21.8457
823,0.0237664,21.8695
824,0.0237664,21.8932
825,0.0237664,21.917
826,0.0237664,21.9408
827,0.0237664,21.9645
828,0.0237664,21.9883
829,0.0237664,22.0121
830,0.0237664,22.0358
831,0.0237664,22.0596
832,0.0237664,22.0834
833,0.0237664,22.1071
834,0.0237664,22.1309
835,0.0237664,22.1547
836,0.0237664,22.1784
837,0.0237664,22.2022
838,0.0237664,22.226
839,0.0237664,22.2497
840,0.0237664,22.2735
841,0.0237664,22.2973
842,0.0237664,22.321
843,0.0237664,22.3448
844,0.0237664,22.3685
845,0.0237664,22.3923
846,0.0237664,22.4161
847,0.0237664,22.4398
848,0.0237664,22.4636
849,0.0237664,22.4874
850,0.0237664,22.5111
851,0.0237664,22.5349
852,0.0237664,22.5587
853,0.0237664,22.5824
854,0.0237664,22.6062
855,0.0237664,22.63
856,0.0237664,22.6537
857,0.0237664,22.6775
858,0.0237664,22.7013
859,0.0237664,22.725
860,0.0237664,22.7488
861,0.0237664,22.7726
862,0.0237664,22.7963
863,0.0237664,22.8201
864,0.0237664,22.8439
865,0.0237664,22.8676
866,0.0237664,22.8914
867,0.0237664,22.9152
868,0.0237664,22.9389
869,0.0237664,22.9627
870,0.0237664,22.9865
871,0.0237664,23.0102
872,0.0237664,23.034
873,0.0237664,23.0578
874,0.0237664,23.0815
875,0.0237664,23.1053
876,0.0237664,23.1291
877,0.0237664,23.1528
878,0.0237664,23.1766
879,0.0237664,23.2004
880,0.0237664,23.2241
881,0.0237664,23.2479
882,0.0237664,23.2717
883,0.0237664,23.2954
884,0.0237664,23.3192
885,0.0237664,23.343
886,0.0237664,23.3667
887,0.0237664,23.3905
888,0.0237664,23.4143
889,0.0237664,23.438
890,0.0237664,23.4618
891,0.0237664,23.4856
892,0.0237664,23.5093
893,0.0237664,23.5331
894,0.0237664,23.5569
895,0.0237664,23.5806
896,0.0237664,23.6044
897,0.0237664,23.6282
898,0.0237664,23.6519
899,0.0237664,23.6757
900,0.0237664,23.6995
901,0.0237664,23.7232
902,0.0237664,23.747
903,0.0237664,23.7708
904,0.0237664,23.7945
905,0.0237664,23.8183
906,0.0237664,23.8421
907,0.0237664,23.8658
908,0.0237664,23.8896
909,0.0237664,23.9134
910,0.0237664,23.9371
911,0.0237664,23.9609
912,0.0237664,23.9847
913,0.0237664,24.0084
914,0.0237664,24.0322
915,0.0237664,24.056
916,0.0237664,24.0797
917,0.0237664,24.1035
918,0.0237664,24.1273
919,0.0237664,24.151
920,0.0237664,24.1748
921,0.0237664,24.1986
922,0.0237664,24.2223
923,0.0237664,24.2461
924,0.0237664,24.2699
925,0.0237664,24.2936
926,0.0237664,24.3174
927,0.0237664,24.3412
928,0.0237664,24.3649
929,0.0237664,24.3887
930,0.0237664,24.4125
931,0.0237664,24.4362
932,0.0237664,24.46
933,0.0237664,24.4838
934,0.0237664,24.5075
935,0.0237664,24.5313
936,0.0237664,24.5551
937,0.0237664,24.5788
938,0.0237664,24.6026
939,0.0237664,24.6264
940,0.0237664,24.6501
941,0.0237664,24.6739
942,0.0237664,24.6977
943,0.0237664,24.7214
944,0.0237664,24.7452
945,0.0237664,24.769
946,0.0237664,24.7927
947,0.0237664,24.8165
948,0.0237664,24.8403
949,0.0237664,24.864
950,0.0237664,24.8878
951,0.0237664,24.9115
952,0.0237664,24.9353
953,0.0237664,24.9591
954,0.0237664,24.9828
955,0.0237664,25.0066
956,0.0237664,25.0304
957,0.0237664,25.0541
958,0.0237664,25.0779
959,0.0237664,25.1017
960,0.0237664,25.1254
961,0.0237664,25.1492
